date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:52	41203/41203	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:50:30%20GMT	https://landing.engotheme.com/html/lotus/demo/events-detail.html	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/events-detail.html	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:47:53	28138/28138	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:49:14%20GMT	https://landing.engotheme.com/html/lotus/demo/attractions.html	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/attractions.html	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:47:53	26559/26559	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:45:18%20GMT	https://landing.engotheme.com/html/lotus/demo/room-1.html	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/room-1.html	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:47:55	24795/24795	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:54:18%20GMT	https://landing.engotheme.com/html/lotus/demo/term-condition.html	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/term-condition.html	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:47:56	27700/27700	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:54:10%20GMT	https://landing.engotheme.com/html/lotus/demo/term-condition-2.html	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/term-condition-2.html	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:47:56	30007/30007	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:49:02%20GMT	https://landing.engotheme.com/html/lotus/demo/activiti.html	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/activiti.html	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:47:56	49240/49240	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:48:52%20GMT	https://landing.engotheme.com/html/lotus/demo/activiti-detail.html	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/activiti-detail.html	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:47:56	29678/29678	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:49:54%20GMT	https://landing.engotheme.com/html/lotus/demo/check-out.html	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/check-out.html	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:47:57	4272/4272	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20Sep%202016%2015:00:30%20GMT	https://landing.engotheme.com/html/lotus/demo/page-404.html	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/page-404.html	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:47:57	46594/46594	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:54:02%20GMT	https://landing.engotheme.com/html/lotus/demo/shortcode.html	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/shortcode.html	(from https://landing.engotheme.com/html/lotus/demo/index.html)
